Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,INFY,EQ,658.95,660.95,666.3,654.15,665.95,665.05,660.66,2943390,194457942255000.0,45422,1282161,0.43560000000000004
2019-01-02,INFY,EQ,665.05,666.0,674.0,662.05,668.0,669.05,669.97,7416655,496896263260000.06,108094,3880800,0.5233
2019-01-03,INFY,EQ,669.05,672.0,677.0,663.1,668.0,669.15,669.66,6827249,457192925825000.0,125781,3676359,0.5385
2019-01-04,INFY,EQ,669.15,671.75,673.9,651.0,660.25,661.05,660.17,7889310,520830458870000.0,187590,3747741,0.47500000000000003
2019-01-07,INFY,EQ,661.05,665.0,673.6,661.5,671.7,671.7,667.51,8046340,537097378660000.06,132736,4711672,0.5856
2019-01-08,INFY,EQ,671.7,674.95,677.45,668.55,670.0,670.05,672.86,8621545,580112271975000.0,134369,5652959,0.6557
2019-01-09,INFY,EQ,670.05,686.2,689.8,664.0,675.6,676.1,678.41,18130292,1229973807480000.0,314702,8029281,0.4429
2019-01-10,INFY,EQ,676.1,681.6,682.0,672.55,680.8,679.7,677.63,9572493,648661027585000.0,141449,6064060,0.6335000000000001
2019-01-11,INFY,EQ,679.7,680.2,685.5,672.5,684.35,683.5,679.18,12281903,834160386110000.0,159694,6409592,0.5219
2019-01-14,INFY,EQ,683.5,707.0,710.2,695.95,701.3,701.9,701.27,19312937,1354362037615000.0,289248,7316609,0.3788
2019-01-15,INFY,EQ,701.9,707.2,730.0,707.2,728.3,726.6,721.52,19671304,1419322235315000.0,285205,8770235,0.4458
2019-01-16,INFY,EQ,726.6,729.9,737.8,728.5,735.95,736.8,734.12,9658944,709083808010000.0,175301,3769918,0.39030000000000004
2019-01-17,INFY,EQ,736.8,735.8,739.0,729.1,733.2,733.35,733.06,6903771,506086513014999.94,155361,3662842,0.5306000000000001
2019-01-18,INFY,EQ,733.35,730.0,736.2,726.3,734.0,730.95,730.43,5902151,431110179825000.0,117506,3555997,0.6025
2019-01-21,INFY,EQ,730.95,738.2,751.0,734.0,743.25,745.0,744.87,8129422,605532708630000.0,207759,4205100,0.5173
2019-01-22,INFY,EQ,745.0,741.25,749.0,734.0,747.0,745.35,739.94,6723375,497490433889999.94,184880,4348471,0.6468
2019-01-23,INFY,EQ,745.35,742.35,742.6,729.2,731.65,731.65,735.7,7212099,530591042170000.0,114457,4265475,0.5914
2019-01-24,INFY,EQ,731.65,728.1,736.1,721.0,734.0,732.0,727.66,7429783,540636501789999.94,138534,3721327,0.5009
2019-01-25,INFY,EQ,732.0,728.0,737.9,724.25,730.3,730.35,731.7,5543112,405591204645000.0,86157,3056302,0.5514
2019-01-28,INFY,EQ,730.35,731.0,732.6,719.0,731.0,727.95,725.12,7944693,576088291900000.0,128705,5442114,0.685
2019-01-29,INFY,EQ,727.95,725.5,732.85,716.5,730.05,727.9,721.76,6760819,487971490260000.06,137242,4100300,0.6065
2019-01-30,INFY,EQ,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,418655619195000.0,125751,3267862,0.5670000000000001
